action_name,leaf_value,effort_level,time,user_id,categories
Commute by leg power - walk or bike to work or school,1,Low,1739461726000,62002cce-0993-4658-b6dd-ec2b10bd3337,Transportation and Travel
Use your reusable water bottle every day this week,1,Low,1739461761000,62002cce-0993-4658-b6dd-ec2b10bd3337,Around the House
Use reusable shopping bags this week,1,Low,1739461776000,62002cce-0993-4658-b6dd-ec2b10bd3337,Around the House
Recycle all your plastic and aluminum beverage containers this week,1,Low,1739461789000,62002cce-0993-4658-b6dd-ec2b10bd3337,Recycling and Upcycling
Pack your leftovers in reusable containers this week,1,Low,1739461836000,62002cce-0993-4658-b6dd-ec2b10bd3337,Around the House
Compost your food waste at home this week,1,Low,1739462048000,62002cce-0993-4658-b6dd-ec2b10bd3337,Food and Dining
Wash only full loads of laundry this week,1,Low,1743016298000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Around the House
Switch one standard bulb to LED lights,10,Med,1743016307000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Energy Efficiency
Sell or donate your old clothing and accessories this year,2,Low,1743016327000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Recycling and Upcycling
Sell or donate your old books this year,2,Low,1743016343000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Recycling and Upcycling
Recycle your old electronics,3,Med,1743016347000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Recycling and Upcycling
Recycle your plastic bags this week,1,Low,1743016351000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Recycling and Upcycling
Turn off the lights when not in use this week,1,Low,1743016389000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Energy Efficiency
Unplug your unused electronics this week,3,Low,1743016505000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Energy Efficiency
Sell or donate old toys this season,1,Low,1743016508000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Recycling and Upcycling
Do your laundry in cold water this week,2,Low,1743016525000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Around the House
Set up and use recycling bins in your household,1,Low,1743016530000,283fe88d-ce7f-4f3f-9786-5f05c2b53754,Around the House
Use your U-PASS around campus this week,1,Low,1743625720000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Transportation and Travel
Set up and use recycling bins in your household,1,Low,1743625757000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Around the House
Learn about the benefits switching to an electric car,1,Low,1743625820000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Transportation and Travel
Learn about energy from unused electronics,1,Low,1743625832000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Education and Advocacy
Read up on the climate impact of food,1,Low,1743625861000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Food and Dining
Learn about the climate impact of your home,1,Low,1743625929000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Around the House
Turn off the lights when not in use this week,1,Low,1743625942000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Energy Efficiency
Learn about the climate impact of driving,1,Low,1743626080000,2d5f15b7-da2f-4375-8a8b-fc0759154a6b,Education and Advocacy
Recycle all your plastic and aluminum beverage containers this week,1,Low,1751404843000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Recycling and Upcycling
Have a leftovers-only meal,1,Low,1742114355000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Food and Dining
Use your reusable water bottle every day this week,1,Low,1742555744000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Around the House
Use reusable shopping bags this week,1,Low,1748077989000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Around the House
"If you fly, fly light",1,Low,1749138029000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Transportation and Travel
Compost your food waste at home this week,1,Low,1749138310000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Food and Dining
Dig into some books on climate change,1,Low,1738891945000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Education and Advocacy
Set up and use recycling bins in your household,1,Low,1745052235000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Around the House
Have a leftovers-only meal,1,Low,1745643199000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Food and Dining
Use your reusable water bottle every day this week,1,Low,1745643216000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Around the House
Recycle or compost your lawn clippings this month,1,Low,1745643283000,2d221e29-a896-49b5-9f96-c8f4cab3043c,Around the House
Recycle all your plastic and aluminum beverage containers this week,1,Low,1745823935000,4710c5a5-0a66-4e57-a157-3330018f849c,Recycling and Upcycling
Use your reusable water bottle every day this week,1,Low,1745823943000,4710c5a5-0a66-4e57-a157-3330018f849c,Around the House
Turn off the lights when not in use this week,1,Low,1745823947000,4710c5a5-0a66-4e57-a157-3330018f849c,Energy Efficiency
Have a leftovers-only meal,1,Low,1745823956000,4710c5a5-0a66-4e57-a157-3330018f849c,Food and Dining
Wash only full loads of laundry this week,1,Low,1745823961000,4710c5a5-0a66-4e57-a157-3330018f849c,Around the House
Set up and use recycling bins in your household,1,Low,1745823968000,4710c5a5-0a66-4e57-a157-3330018f849c,Around the House
Pack your leftovers in reusable containers this week,1,Low,1745823970000,4710c5a5-0a66-4e57-a157-3330018f849c,Around the House
Volunteer with Hand 2 Hunger meal making,1,Med,1745824094000,4710c5a5-0a66-4e57-a157-3330018f849c,Food and Dining
Add some plants to your office,2,Med,1743665458000,2a516035-069c-475c-be55-26749429627b,On The Job
Turn your computer and monitor off at the end of the day,1,Low,1743665468000,2a516035-069c-475c-be55-26749429627b,Energy Efficiency
Telecommute and work from home,2,Low,1743665477000,2a516035-069c-475c-be55-26749429627b,Transportation and Travel
Install a smart thermostat,110,Med,1743866127000,2a516035-069c-475c-be55-26749429627b,Around the House
Learn about UM's solar energy program at the ECO Mural in the Hurricane Food Court,1,Low,1744363408000,602b93e1-5c5c-4afb-b173-f5c26fa01324,Education and Advocacy
Bring portable leftover containers to a restaurant,2,Med,1741192629000,4b96227d-39e1-4055-87b5-14d40b7118ce,Around the House
Take a visit to Asylum Lake,1,Low,1742813762000,2a516035-069c-475c-be55-26749429627b,Health and Wellness
Buy second-hand clothes,1,Low,1742818272000,2a516035-069c-475c-be55-26749429627b,Recycling and Upcycling
Check your car's tire pressure this month,3,Med,1742971128000,2a516035-069c-475c-be55-26749429627b,Transportation and Travel
"If you fly, fly light",1,Low,1742971141000,2a516035-069c-475c-be55-26749429627b,Transportation and Travel
Choose plastic-free toothpastes,1,Low,1743350814000,2a516035-069c-475c-be55-26749429627b,Health and Wellness
Ditch an aerosol you have sitting around this month,1,Med,1743350827000,2a516035-069c-475c-be55-26749429627b,Health and Wellness
Go dairy-free for the day,2,Med,1743350860000,2a516035-069c-475c-be55-26749429627b,Food and Dining
