Title,URL,Habit Forming Challenges
Rover.com sustainable dog toys,https://www.rover.com/blog/sustainable-dog-toys/,COPT0001
"Why Air Drying Laundry is Better, for your clothes and the planet","https://www.bhg.com/homekeeping/laundry-linens/clothes/dry-clothes/#:~:text=Air%2Ddrying%20clothes%20uses%20less,and%20tear%20in%20the%20dryer",CHEE0002
Alternatives to A/C,https://temperaturemaster.com/how-to-cool-a-room-with-ice/,CHEE0004
Sustainable Zero Waste Bamboo Based Pet Products,https://www.sustainablejungle.com/zero-waste/bamboo-pet-products/,COPT0001
Best smart leak detectors,https://www.nytimes.com/wirecutter/reviews/the-best-smart-leak-detector/,COHH0001
Earth911.com Recycling and Sustainability Website,https://www.earth911.com,COEA0001
350.org International Climate Organization,https://350.org/,COEA0002
The Nature Conservancy,https://www.nature.org/en-us/,"COEA0003,CHEA0063"
Emerald Edge coastal rainforest,https://www.nature.org/en-us/about-us/where-we-work/priority-landscapes/emerald-edge/,COEA0004
Earth911:   Sustainable Hotel Travel,https://earth911.com/travel-living/green-hotels-how-do-i-identify-sustainable-travel-lodging/,CHTT0015
Simple natural homemade dog treats recipe,https://trashisfortossers.com/4-ingredient-homemade-zero-waste-dog-treats/,CHPT0001
EPA composting guide,https://www.epa.gov/recycle/composting-home,CHRU0003
Best compost bins,https://nymag.com/strategist/article/best-compost-bins.html,CHRU0003
Climate Reality Project,https://www.climaterealityproject.org/,COEA0005
Seattle's best vegan (and vegetarian) pizzas,https://seattleveganrestaurants.com/blog/the-best-vegan-pizza-in-seattle,COFD0002
Carbon footprint of different food,https://ourworldindata.org/carbon-footprint-food-methane,COEA0006
Last Object,https://lastobject.com/,CHHH0005
"Benefits of Energy Star windows, doors and skylights",https://www.energystar.gov/products/building_products/residential_windows_doors_and_skylights/benefits,"COHH0002,CHEA0046,CHEA0047"
Clean energy wind turbine overview,https://www.clean-energy-ideas.com/wind/wind-turbines/how-much-energy-does-a-wind-turbine-produce/,COHH0007
My Climate Journey podcast,https://www.myclimatejourney.co/,CHEA0001
To a Lesser Degree - Climate podcast from the Economist,https://www.economist.com/podcasts/2021/09/25/to-a-lesser-degree-a-new-climate-podcast-from-the-economist,CHEA0001
Energy Star most efficient refrigerators 2021,https://www.energystar.gov/productfinder/most-efficient/me-certified-refrigerators?type_filter=Top+Freezer&type_filter=Bottom+Freezer&type_filter=Side-by-Side,"CHEE0005,CHEA0046"
How to Save a Planet podcast,https://gimletmedia.com/shows/howtosaveaplanet,CHEA0001
The energy costs of cooling and heating a home,https://www.npr.org/templates/story/story.php?storyId=13941744,CHEE0007
The differences between heat pumps and a furnace,https://www.thisoldhouse.com/heating-cooling/21097106/whats-the-difference-between-a-heat-pump-and-furnace,COEE0002
Best solar power banks,https://www.treehugger.com/best-solar-power-banks-5080126,COEE0003
Investopedia ESG overview,https://www.investopedia.com/terms/e/environmental-social-and-governance-esg-criteria.asp,"CHEA0002,CHAW0010"
Ways to reduce junkmail,https://www.consumer.ftc.gov/articles/how-stop-junk-mail#mail,COHH0008
Save airplane emissions by packing light,https://www.flyaware.com/your-journey/pack-lighter/how-packing-lighter-can-reduce-emissions/,CHTT0016
Household carbon emissions,https://www.pnas.org/content/117/32/19122,COEA0007
Al Gore Climate Change Ted talk,https://www.ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,COEA0008
Ten of the best YouTube videos on climate change,https://www.carbonbrief.org/10-of-the-best-youtube-videos-on-climate-change,"COEA0008,CHEA0043"
Best water leak sensors 2021,https://www.pcmag.com/picks/the-best-smart-water-leak-detectors,COHH0001
Energy.gov home energy assesments,https://www.energy.gov/energysaver/professional-home-energy-assessments,COHH0006
How much does electricity cost,https://www.inspirecleanenergy.com/blog/clean-energy-101/how-much-does-electricity-cost,CHEE0009
"Climate change: Should you fly, drive or take the train?",https://www.bbc.com/news/science-environment-49349566,COTT0001
Google Maps public transit directions,https://support.google.com/maps/answer/6142130?hl=en,CHTT0005
Uber Green,https://www.uber.com/us/en/ride/ubergreen/,CHTT0011
Waze carpool,https://www.waze.com/carpool/,CHTT0003
Simple Veganista marinara sauce recipe,https://simple-veganista.com/marinara-sauce/,CHFD0003
All Recipes easy vegan pasta sauce,https://www.allrecipes.com/recipe/23982/easy-vegan-pasta-sauce/,CHFD0003
Trash each person creates per year,https://www.titlemax.com/discovery-center/lifestyle/trash-one-person-produces-year/,CHHH0019
