Title,URL,Image URL,Habits,External Links (from Habits),Habit Forming Challenges,ID # (from Habit Forming Challenges),One Off Challenges,ID # (from One Off Challenges),Projects,ID # (from Projects),Partner Challenges Duluth,Partner Challenges Duluth copy,Projects copy,Partner Challenges TalkingRain copy,Partner Challenges WashU copy,Partner Challenges WashU copy,Partner Challenges WashU copy,Partner Challenges TMMC copy,Partner Challenges TMMC copy,Partner Challenges Arlington copy,Sponsors,Partner Challenges Arlington copy,Copia de Partner Challenges SB,Partner Challenges FCCPS copy,Partner Challenges WMich copy,Partner Challenges Demo copy,Partner Challenges PNWCW copy,Partner Challenges CSP copy,Partner Challenges Sunripe copy
Rover.com sustainable dog toys,https://www.rover.com/blog/sustainable-dog-toys/,https://www.rover.com/blog/wp-content/uploads/2020/04/frisbee-4127207_1280-e1618436100279.jpg,,,COPT0001,COPT0001,,,,,,,TM0001,,,,,,,,,,,,,,,,
"Why Air Drying Laundry is Better, for your clothes and the planet","https://www.bhg.com/homekeeping/laundry-linens/clothes/dry-clothes/#:~:text=Air%2Ddrying%20clothes%20uses%20less,and%20tear%20in%20the%20dryer",https://www.bhg.com/thmb/sT9TPZ2EwqE7OdAR1xwIZgJZF2Q=/1245x0/filters:no_upscale():strip_icc()/laundry-room-stool-blue-cabinets-82802f34-49aaf7dc428b40228f35800f0d47b044.jpg,,,CHEE0002,CHEE0002,,,,,,,,,,,,,,,,,,,,,,,
Alternatives to A/C,https://temperaturemaster.com/how-to-cool-a-room-with-ice/,https://temperaturemaster.com/wp-content/uploads/2021/10/TemperatureMaster-Horizontal.png,,,CHEE0004,CHEE0004,,,,,,,,,,,,,,,,,,,,,,,
Sustainable Zero Waste Bamboo Based Pet Products,https://www.sustainablejungle.com/zero-waste/bamboo-pet-products/,https://www.sustainablejungle.com/wp-content/uploads/2020/08/Bamboo-Pet-Products-F.jpg,,,COPT0001,COPT0001,,,,,,,,,,,,,,,,,,,,,,,
Mai Ndombe,https://projects.everland.earth/projects/mai-ndombe-id,https://everland.earth/wp-content/uploads/2022/06/catalogue-3.jpg,,,,,,,PROJ0001,PROJ0001,,,,,,,,,,,,,,,,,,,
Prony Wind Power,https://www.southpole.com/projects/prony-green-power-from-wind,https://www.southpole.com/uploads/thumbs/project_image_300344-7_340x300.jpg,,,,,,,PROJ0002,PROJ0002,,,,,,,,,,,,,,,,,,,
Best smart leak detectors,https://www.nytimes.com/wirecutter/reviews/the-best-smart-leak-detector/,https://cdn.thewirecutter.com/wp-content/uploads/2020/05/smartleaksensor-lowres-20.jpg?auto=webp&quality=60&crop=1.91:1&width=1200,,,COHH0001,COHH0001,,,,,,,,,,,,,,,,,,,,,,,
Earth911.com Recycling and Sustainability Website,https://www.earth911.com,https://images.emeraldtechnology.net/images/earth911_logo.png,,,COEA0001,COEA0001,,,,,,,,,,,,,,,,,,,,PNWEA0153,,,
350.org International Climate Organization,https://350.org/,https://350.org/wp-content/uploads/2017/02/350-share-img-home-1-1024x538.jpg,,,COEA0002,COEA0002,,,,,,,,,,,,,,,,,,,,,,,
The Nature Conservancy,https://www.nature.org/en-us/,"https://natureconservancy-h.assetsadobe.com/is/image/content/dam/tnc/nature/en/photos/Towering-CA-Redwoods.jpg?crop=0,175,2400,1260&wid=1200&hei=630&scl=2.0",,,"COEA0003,CHEA0063","COEA0003, CHEA0063",,,,,,,,,,,,,,,,,,,,,,,
Emerald Edge coastal rainforest,https://www.nature.org/en-us/about-us/where-we-work/priority-landscapes/emerald-edge/,"https://natureconservancy-h.assetsadobe.com/is/image/content/dam/tnc/nature/en/photos/Tnc_92327557.jpg?crop=0,50,4000,2100&wid=1200&hei=630&scl=3.3333333333333335",,,COEA0004,COEA0004,,,,,,,,,,,,,,,,,,,,,,,
Earth911:   Sustainable Hotel Travel,https://earth911.com/travel-living/green-hotels-how-do-i-identify-sustainable-travel-lodging/,https://earth911.com/wp-content/uploads/2021/09/AdobeStock_356286682_1200px.jpeg,,,CHTT0015,CHTT0015,,,,,,,,,,,,,,,,,,,,,,,
Simple natural homemade dog treats recipe,https://trashisfortossers.com/4-ingredient-homemade-zero-waste-dog-treats/,https://www.tift-admin.com/wp-content/uploads/2018/09/zero-waste-homemade-dog-treats-trash-is-for-tossers-cropped.jpg,,,CHPT0001,CHPT0001,,,,,,,,,,,,,,,,,,,,,,,
EPA composting guide,https://www.epa.gov/recycle/composting-home,https://www.epa.gov/sites/all/themes/epa/img/epa-standard-og.jpg,,,CHRU0003,CHRU0003,,,,,,,,,,,,,,,,,,,,,,,
Best compost bins,https://nymag.com/strategist/article/best-compost-bins.html,https://pyxis.nymag.com/v1/imgs/fab/e42/6bf8d85d4c8550d0cb106bdd576ad7bc62-14-bins.1x.rsocial.w1200.jpg,,,CHRU0003,CHRU0003,,,,,,,,,,,,,,,,,,,,,,,
Climate Reality Project,https://www.climaterealityproject.org/,https://www.climaterealityproject.org/sites/all/themes/custom/climate/images/climate-share-image.jpg,,,COEA0005,COEA0005,,,,,,,,,,,,,,,,,,,,,,,
Seattle's best vegan (and vegetarian) pizzas,https://seattleveganrestaurants.com/blog/the-best-vegan-pizza-in-seattle,http://static1.squarespace.com/static/6019d990cb7c8b68d75f1305/602079edf6ab14290ac0149d/60349a37e337796a3fea2c3b/1630000281981/Breezy+Town+Pizza+beacon+Hill.jpg?format=1500w,,,COFD0002,COFD0002,,,,,,,,,,,,,,,,,,,,,,,
Carbon footprint of different food,https://ourworldindata.org/carbon-footprint-food-methane,https://ourworldindata.org/app/uploads/2020/03/GHG-emissions-by-food-type-with-and-without-CH4-768x742.png,,,COEA0006,COEA0006,,,,,,,,,,,,,,,,,,,,,,,
Last Object,https://lastobject.com/,https://cdn.shopify.com/s/files/1/0225/3393/1085/files/lastobject_products_1_6509577e-b7d6-42be-96da-54b8d79b9a47.jpg?v=1614154873,,,CHHH0005,CHHH0005,,,,,,,,,,,,,,,,,,,,,,,
Keo Seima Wildlife Sanctuary Preservation,https://projects.everland.earth/projects/keo-seima-id,https://www.everlandmarketing.com/wp-content/uploads/2020/05/KSWS-forests_Adam-Roberts.jpg,,,,,,,PROJ0003,PROJ0003,,,,,,,,,,,,,,,,,,,
